"","SortID","InstanceID","sms_dataid","sms_id","treatment","surveygroup","panel","sarajevocity","sarajevosurvey","panelcity","allwave","nationwave","panelwave","wave3","entity","rs","federation","region","type","urban","rural","municipality","municipality2","municipality3","centar","novigrad","novosarajevo","starigrad","sarajevocanton","panelcitycanton","tuzla","banjaluka","ethnicity","Bosniak","Croat","Serb","Bosnian","other","bosniakfavorable","croatfavorable","serbfavorable","ethnocentric","Men","age","Education","unemployed","religious","voteeu","heardofpride","prideknowledge","supportpride","rightspride","rightsnopride","rightsyesnopride","metgay","closetogay","gayrights","knewvictim","alphaclosecontact","GayActivistTreatment","HomophobeTreatment","AttendPride","ProtestPride","dgbias","magdgbias","dgprogay","dgantigay","municipalitystr","municipalcode","hadzic_merge","ethnic_vote_share","casualty","log_casualty","hhi_sb","hhi_cb","hhi_sc","pop_density","log_pop_density","refugees","cem_strata","cem_matched","cem_weights"
"1432",1432,367273,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,2,0,2,2,2,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,2,2,1,0,49,3,0,2,1,0,1,1,0,0,NA,1,0,0,1,0.5,1,0,1,1,1,1000,0,1000,"Cazin",2,3,80.5432434082031,1.46666872501373,0.382993698120117,0.960973620414734,0.970755338668823,0.0107420021668077,178.115173339844,5.18243026733398,2.14322876930237,16,1,1.34774362693144
"1433",1433,367309,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,2,0,2,2,2,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,1,1,1,0,1,45,9,0,2,1,1,4,2,0,0,NA,1,0,0,1,0.5,1,0,1,1,1,1000,0,1000,"Cazin",2,3,80.5432434082031,1.46666872501373,0.382993698120117,0.960973620414734,0.970755338668823,0.0107420021668077,178.115173339844,5.18243026733398,2.14322876930237,16,1,1.34774362693144
"1434",1434,368904,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,1,1,1,3,3,0,0,0,0,0,0,4,0,0,5,0,0,0,1,0,2,4,4,1,1,59,5,1,1,1,0,1,1,0,0,NA,1,0,0,NA,0.333333343267441,1,0,1,10,1,1000,0,1000,"Bihac",3,3,62.93505859375,2.21257710456848,0.794157922267914,0.557977497577667,0.598700702190399,0.148697331547737,102.808135986328,4.63286447525024,1.52830398082733,19,1,0.840651506139443
"1435",1435,369125,NA,NA,0,1,0,0,0,3,1,1,NA,0,1,0,1,1,1,1,1,5,5,0,0,0,0,0,0,4,0,0,1,1,0,0,0,0,2,3,3,1,0,28,9,0,3,0,1,4,1,0,0,NA,4,4,0,2,2.5,1,0,1,1,1,1000,0,1000,"",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1,0.847774216940747
"1436",1436,368185,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,2,0,2,9,9,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,1,1,0,44,8,0,2,0,1,2,1,0,0,NA,4,0,0,1,1.25,1,0,1,1,1,1000,0,1000,"Prijedor",9,3,92.0699234008789,4.68532037734985,1.54443430900574,0.430787891149521,0.395122140645981,0.37981304526329,134.943649291992,4.90485715866089,12.463680267334,16,1,1.34774362693144
"1437",1437,368780,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,1,1,1,9,9,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,3,3,1,1,1,61,7,0,2,0,1,2,1,0,0,NA,1,0,0,2,0.75,1,0,1,7,1,998,1,999,"Prijedor",9,3,92.0699234008789,4.68532037734985,1.54443430900574,0.430787891149521,0.395122140645981,0.37981304526329,134.943649291992,4.90485715866089,12.463680267334,19,1,0.840651506139443
"1438",1438,369708,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,1,1,1,9,9,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,4,1,1,0,42,6,1,2,1,1,1,1,0,0,NA,2,0,0,1,0.75,1,0,1,1,1,1000,0,1000,"Prijedor",9,3,92.0699234008789,4.68532037734985,1.54443430900574,0.430787891149521,0.395122140645981,0.37981304526329,134.943649291992,4.90485715866089,12.463680267334,13,1,1.05699005490521
"1439",1439,366149,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,2,0,2,11,11,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,2,2,2,0,1,75,6,0,2,1,1,2,1,0,0,NA,1,0,0,1,0.5,1,0,1,1,1,1000,0,1000,"Laktasi",11,3,95.0647659301758,0.79780101776123,-0.225896060466766,0.797182321548462,0.0760587230324745,0.740918159484863,76.8865966796875,4.34233140945435,0.512872099876404,4,1,1.04176939811458
"1440",1440,367075,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,9,1,1,1,21,21,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,1,1,1,0,0,52,7,0,1,0,1,1,1,0,0,NA,1,0,0,1,0.5,1,0,1,1,1,1000,0,1000,"Samac (Bosanski Samac)",21,3,94.2463226318359,1.87803399562836,0.630225479602814,0.364798188209534,0.397022664546967,0.430854082107544,151.889404296875,5.02315282821655,3.95024275779724,17,1,0.79348529094722
"1441",1441,369188,NA,NA,0,1,0,0,0,3,1,1,NA,0,2,1,0,10,1,1,1,29,29,0,0,0,0,0,0,4,0,0,3,0,0,1,0,0,4,4,1,1,1,30,5,0,2,0,1,2,1,0,0,NA,1,0,0,2,0.75,1,0,1,1,1,1000,0,1000,"Bijeljina",29,3,94.1309661865234,1.07435977458954,0.0717248693108559,0.495097905397415,0.30676743388176,0.586725831031799,132.136245727539,4.88383340835571,9.34961032867432,9,1,0.847774216940747
